Class;Value;Class_start;Class_end;
132;108;1.706839600521;1.711204788384;
133;459;1.711204788384;1.715569976247;
134;273;1.715569976247;1.719935164110;
135;369;1.719935164110;1.724300351973;
136;127;1.724300351973;1.728665539836;
137;538;1.728665539836;1.733030727699;
138;1058;1.733030727699;1.737395915562;
139;148;1.737395915562;1.741761103425;
140;530;1.741761103425;1.746126291288;
141;347;1.746126291288;1.750491479151;
142;0;1.750491479151;1.754856667014;
143;484;1.754856667014;1.759221854877;
144;116;1.759221854877;1.763587042740;
145;247;1.763587042740;1.767952230603;
146;346;1.767952230603;1.772317418466;
147;684;1.772317418466;1.776682606329;
148;811;1.776682606329;1.781047794192;
149;651;1.781047794192;1.785412982055;
150;332;1.785412982055;1.789778169918;
151;0;1.789778169918;1.794143357781;
152;256;1.794143357781;1.798508545644;
153;554;1.798508545644;1.802873733507;
154;102;1.802873733507;1.807238921371;
155;354;1.807238921371;1.811604109234;
156;437;1.811604109234;1.815969297097;
157;1218;1.815969297097;1.820334484960;
158;655;1.820334484960;1.824699672823;
159;982;1.824699672823;1.829064860686;
160;665;1.829064860686;1.833430048549;
161;0;1.833430048549;1.837795236412;
162;562;1.837795236412;1.842160424275;
163;606;1.842160424275;1.846525612138;
164;765;1.846525612138;1.850890800001;
165;354;1.850890800001;1.855255987864;
166;655;1.855255987864;1.859621175727;
167;551;1.859621175727;1.863986363590;
168;1033;1.863986363590;1.868351551453;
169;637;1.868351551453;1.872716739316;
170;1403;1.872716739316;1.877081927179;
171;860;1.877081927179;1.881447115042;
172;324;1.881447115042;1.885812302905;
173;850;1.885812302905;1.890177490768;
174;417;1.890177490768;1.894542678631;
175;1287;1.894542678631;1.898907866494;
176;714;1.898907866494;1.903273054357;
177;1081;1.903273054357;1.907638242220;
178;995;1.907638242220;1.912003430083;
179;458;1.912003430083;1.916368617946;
180;761;1.916368617946;1.920733805809;
181;1362;1.920733805809;1.925098993672;
182;902;1.925098993672;1.929464181535;
183;1254;1.929464181535;1.933829369399;
184;1629;1.933829369399;1.938194557262;
185;926;1.938194557262;1.942559745125;
186;550;1.942559745125;1.946924932988;
187;2014;1.946924932988;1.951290120851;
188;523;1.951290120851;1.955655308714;
189;487;1.955655308714;1.960020496577;
190;1316;1.960020496577;1.964385684440;
191;1061;1.964385684440;1.968750872303;
192;1465;1.968750872303;1.973116060166;
193;730;1.973116060166;1.977481248029;
194;1439;1.977481248029;1.981846435892;
195;996;1.981846435892;1.986211623755;
196;977;1.986211623755;1.990576811618;
197;641;1.990576811618;1.994941999481;
198;364;1.994941999481;1.999307187344;
199;409;1.999307187344;2.003672375207;
200;1161;2.003672375207;2.008037563070;
201;637;2.008037563070;2.012402750933;
202;256;2.012402750933;2.016767938796;
203;577;2.016767938796;2.021133126659;
204;1403;2.021133126659;2.025498314522;
205;157;2.025498314522;2.029863502385;
206;603;2.029863502385;2.034228690248;
207;281;2.034228690248;2.038593878111;
208;772;2.038593878111;2.042959065974;
209;374;2.042959065974;2.047324253837;
210;0;2.047324253837;2.051689441700;
211;690;2.051689441700;2.056054629563;
212;317;2.056054629563;2.060419817427;
213;457;2.060419817427;2.064785005290;
214;536;2.064785005290;2.069150193153;
215;588;2.069150193153;2.073515381016;
216;1023;2.073515381016;2.077880568879;
217;141;2.077880568879;2.082245756742;
218;419;2.082245756742;2.086610944605;
219;662;2.086610944605;2.090976132468;
220;480;2.090976132468;2.095341320331;
221;149;2.095341320331;2.099706508194;
222;553;2.099706508194;2.104071696057;
223;626;2.104071696057;2.108436883920;
224;135;2.108436883920;2.112802071783;
225;692;2.112802071783;2.117167259646;
226;0;2.117167259646;2.121532447509;
227;435;2.121532447509;2.125897635372;
228;210;2.125897635372;2.130262823235;
229;133;2.130262823235;2.134628011098;
230;146;2.134628011098;2.138993198961;
231;737;2.138993198961;2.143358386824;
232;431;2.143358386824;2.147723574687;
233;611;2.147723574687;2.152088762550;
234;0;2.152088762550;2.156453950413;
235;457;2.156453950413;2.160819138276;
236;138;2.160819138276;2.165184326139;
237;0;2.165184326139;2.169549514002;
238;178;2.169549514002;2.173914701865;
239;0;2.173914701865;2.178279889728;
240;571;2.178279889728;2.182645077591;
241;504;2.182645077591;2.187010265454;
242;486;2.187010265454;2.191375453318;
243;221;2.191375453318;2.195740641181;
244;265;2.195740641181;2.200105829044;
245;102;2.200105829044;2.204471016907;
246;418;2.204471016907;2.208836204770;
247;578;2.208836204770;2.213201392633;
248;304;2.213201392633;2.217566580496;
249;0;2.217566580496;2.221931768359;
250;679;2.221931768359;2.226296956222;
251;524;2.226296956222;2.230662144085;
252;447;2.230662144085;2.235027331948;
253;0;2.235027331948;2.239392519811;
254;123;2.239392519811;2.243757707674;
255;226;2.243757707674;2.248122895537;
256;121;2.248122895537;2.252488083400;
257;591;2.252488083400;2.256853271263;
258;392;2.256853271263;2.261218459126;
259;0;2.261218459126;2.265583646989;
260;453;2.265583646989;2.269948834852;
261;154;2.269948834852;2.274314022715;
262;0;2.274314022715;2.278679210578;
263;134;2.278679210578;2.283044398441;
264;0;2.283044398441;2.287409586304;
265;0;2.287409586304;2.291774774167;
266;0;2.291774774167;2.296139962030;
267;138;2.296139962030;2.300505149893;
268;0;2.300505149893;2.304870337756;
269;0;2.304870337756;2.309235525619;
270;0;2.309235525619;2.313600713482;
271;130;2.313600713482;2.317965901346;
272;0;2.317965901346;2.322331089209;
273;0;2.322331089209;2.326696277072;
274;0;2.326696277072;2.331061464935;
275;0;2.331061464935;2.335426652798;
276;0;2.335426652798;2.339791840661;
277;0;2.339791840661;2.344157028524;
278;0;2.344157028524;2.348522216387;
279;0;2.348522216387;2.352887404250;
280;0;2.352887404250;2.357252592113;
281;0;2.357252592113;2.361617779976;
282;0;2.361617779976;2.365982967839;
283;0;2.365982967839;2.370348155702;
284;0;2.370348155702;2.374713343565;
285;122;2.374713343565;2.379078531428;
286;0;2.379078531428;2.383443719291;
287;0;2.383443719291;2.387808907154;
288;0;2.387808907154;2.392174095017;
289;0;2.392174095017;2.396539282880;
290;0;2.396539282880;2.400904470743;
291;0;2.400904470743;2.405269658606;
292;0;2.405269658606;2.409634846469;
293;159;2.409634846469;2.414000034332;
