//X,Y,Z,R,G,B,Scalar field,Scalar field #2,Scalar field #3,Scalar field #4,Scalar field #5,Scalar field #6,Scalar field #7,(SF#6) - (SF#4)
1902.16137695,21163.91796875,53.05172348,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.64392090,21163.63476562,52.75630188,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.98193359,21164.03320312,52.83078003,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.67016602,21163.88476562,52.83498764,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.86010742,21163.86328125,53.43719864,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.73168945,21164.13085938,52.53112030,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.83056641,21163.96289062,53.30631638,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.00598145,21164.43554688,53.30309677,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.85266113,21163.87890625,53.41337204,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.78845215,21164.46289062,52.82025528,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.45922852,21163.84960938,52.88937759,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.05627441,21164.14648438,52.96480179,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.44506836,21164.02734375,52.90523148,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.45397949,21163.93750000,52.94697952,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1901.83605957,21164.17968750,53.12919617,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
1902.49548340,21163.76562500,52.86154938,9,103,199,918571.000000,0.107000,0.230000,0.663000,2.556000,1.000000,2.008000,-0.548000
